사마, 82, 144
사아, 82, 156
타파, 40, 168
하하, 64, 179
차파, 48, 154
라라, 46, 182
아사, 78, 157
자가, 68, 179
마바, 40, 180
다바, 87, 143
파바, 87, 186
아마, 50, 152
파마, 76, 175
마라, 48, 150
자가, 69, 150
다사, 45, 192
하하, 72, 155
나다, 89, 166
하라, 72, 165
타라, 58, 167
하바, 47, 149
아마, 58, 189
카타, 61, 160
카차, 82, 143
라라, 50, 166
나나, 44, 192
차바, 59, 144
아아, 85, 194
바하, 83, 160
카자, 58, 155
나다, 45, 169
나사, 64, 192
가타, 49, 151
카하, 81, 199
나나, 54, 157
아하, 70, 178
마마, 98, 181
하라, 60, 164
라하, 44, 143
파아, 98, 142
하사, 84, 188
하하, 81, 161
가가, 84, 169
아파, 87, 154
가차, 55, 187
카라, 93, 188
자차, 50, 192
차다, 74, 164
다다, 86, 164
자하, 87, 152
사마, 48, 198
타라, 96, 158
타차, 55, 185
차사, 55, 197
아타, 61, 186
다나, 65, 192
나다, 69, 199
하하, 57, 180
다파, 67, 184
라차, 62, 154
차카, 83, 181
사아, 87, 196
바라, 78, 199
가사, 56, 156
라자, 67, 171
가사, 66, 192
하아, 61, 143
타카, 60, 174
다하, 91, 140
바마, 47, 193
자타, 59, 186
자타, 71, 142
나차, 50, 146
자하, 40, 156
아라, 91, 174
아나, 92, 172
파사, 52, 155
파라, 72, 173
나사, 99, 162
라사, 53, 198
바라, 48, 178
카라, 93, 175
하나, 68, 191
마사, 67, 165
사바, 93, 149
자다, 45, 150
카차, 55, 166
가하, 50, 167
카타, 96, 176
카나, 58, 148
타파, 74, 188
라타, 59, 143
마타, 92, 199
파바, 70, 166
차아, 62, 165
차사, 96, 185
파바, 91, 169
나가, 96, 146
사자, 77, 190
라가, 96, 181
파사, 89, 155
아파, 41, 194
라사, 51, 144
가파, 48, 147
차차, 54, 167
마카, 91, 178
라다, 83, 187
하카, 81, 195
다마, 90, 176
나마, 60, 156
하자, 42, 160
아카, 72, 144
다다, 73, 148
사나, 59, 142
아나, 41, 180
카아, 42, 145
차마, 77, 158
나바, 77, 178
바카, 64, 187
가다, 41, 194
나차, 94, 189
타차, 59, 166
카다, 90, 184
마가, 52, 196
사카, 79, 191
바카, 76, 196
마타, 90, 162
파하, 74, 171
타파, 68, 167
아나, 71, 193
마사, 61, 191
하사, 79, 193
카가, 79, 166
카바, 46, 149
파아, 55, 183
하카, 59, 173
다바, 44, 158
마가, 64, 193
차타, 65, 157
사바, 99, 174
마나, 62, 142
카다, 64, 168
바아, 82, 176
파다, 50, 164
타카, 93, 167
아바, 82, 143
라아, 45, 141
하사, 42, 180
차하, 50, 194
바사, 44, 145
사하, 93, 154
타타, 67, 166
가아, 98, 143
하가, 65, 189
사다, 71, 186
라다, 64, 168
파하, 92, 178
파마, 55, 166
아자, 55, 189
나타, 71, 168
파타, 68, 156
자아, 90, 174
하하, 90, 193
파타, 96, 144
가마, 68, 144
하카, 52, 173
사가, 50, 184
파파, 78, 185
타차, 60, 192
파차, 77, 181
카카, 92, 186
타나, 71, 197
자파, 51, 190
파자, 46, 194
차자, 98, 187
나마, 97, 157
카바, 79, 182
사하, 44, 156
라마, 82, 140
하자, 64, 143
마차, 98, 160
하가, 44, 182
타자, 87, 144
차다, 64, 174
다차, 94, 153
하파, 81, 194
카나, 75, 140
다하, 50, 146
마다, 57, 191
나라, 59, 187
카자, 96, 188
하사, 47, 158
사나, 49, 163
사차, 85, 159
다마, 79, 193
자바, 79, 178
바다, 88, 176
바파, 66, 182
자아, 85, 194
자라, 71, 191
바차, 48, 171
파가, 41, 162
가사, 81, 199
